,english,spanish
0,"to, at", a
1,to open, abrir
2,maybe, acaso
3,to accept, aceptar
4,accident, accidente
5,to accompany, acompañar
6,to agree, acordar
7,agreement, acuerdo
8,attitude, actitud
9,activity, actividad
10,actor, actor
11,to act, actuar
12,current, actual
13,currently, actualmente
14,besides, además
15,to admire, admirar
16,to admit, admitir
17,to warn, advertir
18,to affect, afectar
19,hobby, afición
20,lucky, afortunado
21,to grab, agarrar
22,to add, agregar
23,water, agua
24,there, ahí
25,now, ahora
26,air, aire
27,to the, al
28,wing, ala
29,to alarm, alarmar
30,to move away, alejar
31,someone, alguien
32,some, alguno
33,soul, alma
34,around, alrededor
35,tall, alto
36,student, alumno
37,kind, amable
38,to love, amar
39,friend, amigo
40,love, amor
41,wide, ancho
42,to walk, andar
43,animal, animal
44,spirit, ánimo
45,to announce, anunciar
46,year, año
47,to turn off, apagar
48,to appear, aparecer
49,hardly, apenas
50,to support, apoyar
51,to learn, aprender
52,that, aquel
53,here, aquí
54,tree, árbol
55,burning, ardiente
56,sand, arena
57,weapon, arma
58,closet, armario
59,to start (engine), arrancar
60,to fix, arreglar
61,art, arte
62,artist, artista
63,so, así
64,to scare, asustar
65,to attend to, atender
66,attention, atención
67,to dare, atreverse
68,although, aunque
69,even, aun
70,to help, ayudar
71,yesterday, ayer
72,blue, azul
73,to go down, bajar
74,bathroom, baño
75,cheap, barato
76,enough, bastante
77,to drink, beber
78,beautiful, bello
79,well, bien
80,white, blanco
81,bag, bolsa
82,pretty, bonito
83,to erase, borrar
84,forest, bosque
85,arm, brazo
86,brief, breve
87,to shine, brillar
88,good, bueno
89,to search, buscar
90,to fall, caer
91,box, caja
92,drawer, cajón
93,heat, calor
94,bed, cama
95,to change, cambiar
96,road, camino
97,to walk, caminar
98,shirt, camisa
99,field, campo
100,tired, cansado
101,to sing, cantar
102,quantity, cantidad
103,capable, capaz
104,capital, capital
105,face, cara
106,affection, cariño
107,meat, carne
108,expensive, caro
109,letter, carta
110,house, casa
111,to get married, casarse
112,almost, casi
113,case, caso
114,castle, castillo
115,to hunt, cazar
116,onion, cebolla
117,dinner, cena
118,brush, cepillo
119,near, cerca
120,brain, cerebro
121,to close, cerrar
122,boy, chico
123,sky, cielo
124,hundred, cien
125,science, ciencia
126,certain, cierto
127,five, cinco
128,tape, cinta
129,hundred, ciento
130,to circulate, circular
131,appointment, cita
132,city, ciudad
133,clear, claro
134,class, clase
135,client, cliente
136,climate, clima
137,car, coche
138,to take, coger
139,color, color
140,to eat, comer
141,food, comida
142,to start, comenzar
143,to buy, comprar
144,to understand, comprender
145,common, común
146,to know, conocer
147,advice, consejo
148,to get, conseguir
149,to consider, considerar
150,"to count, to tell", contar
151,happy, contento
152,to continue, continuar
153,against, contra
154,to control, controlar
155,to convert, convertir
156,to run, correr
157,to cut, cortar
158,thing, cosa
159,custom, costumbre
160,to create, crear
161,to believe, creer
162,to grow, crecer
163,crime, crimen
164,glass, cristal
165,to cross, cruzar
166,to cover, cubrir
167,notebook, cuaderno
168,painting, cuadro
169,which, cual
170,when, cuando
171,how much, cuánto
172,four, cuatro
